Time,Channel A,Channel B
(ms),(V),(mV)

-7.50598288,0.00488341,-1.09876700
-7.50343288,-0.00610426,-1.09876700
-7.50088288,0.00000000,-1.09876700
-7.49833288,0.00000000,-1.09876700
-7.49578288,0.00000000,-1.09876700
-7.49323288,0.00000000,-0.73251120
-7.49068288,-0.00610426,-0.73251120
-7.48813288,0.00000000,-0.73251120
-7.48558288,-0.01098767,-1.09876700
-7.48303288,0.00000000,-0.73251120
-7.48048288,0.00000000,-1.09876700
-7.47793288,-0.01587108,-0.73251120
-7.47538289,0.00000000,-1.09876700
-7.47283289,0.00976682,-1.09876700
-7.47028289,0.00000000,-0.73251120
-7.46773289,-0.00610426,-0.73251120
-7.46518289,-0.00610426,-0.73251120
-7.46263289,-0.00610426,-1.09876700
-7.46008289,0.00488341,-1.09876700
-7.45753289,-0.00610426,-0.73251120
-7.45498289,0.00000000,-1.09876700
-7.45243289,-0.00610426,-0.73251120
-7.44988289,-0.01098767,-1.09876700
-7.44733289,0.00976682,-1.09876700
-7.44478289,0.00000000,-1.09876700
-7.44223289,0.00488341,-0.73251120
-7.43968289,-0.00610426,-1.09876700
-7.43713289,0.00000000,-0.73251120
-7.43458289,-0.01098767,-0.73251120
-7.43203289,0.00000000,-0.73251120
-7.42948289,0.00976682,-1.09876700
-7.42693289,0.00488341,-0.73251120
-7.42438289,0.00976682,-0.73251120
-7.42183289,0.00488341,-1.46502200
-7.41928289,-0.00610426,-1.46502200
-7.41673289,-0.01098767,-0.73251120
-7.41418289,-0.01098767,-0.73251120
-7.41163289,0.00488341,-0.73251120
-7.40908289,0.00000000,-1.46502200
-7.40653289,0.00000000,-1.09876700
-7.40398289,-0.00610426,-1.46502200
-7.40143289,0.00000000,-1.09876700
-7.39888289,0.00488341,-1.46502200
-7.39633289,0.00488341,-0.73251120
-7.39378289,0.00000000,-0.73251120
-7.39123289,0.00488341,-0.73251120
-7.38868289,0.00000000,-0.73251120
-7.38613289,0.00000000,-0.36625560
-7.38358289,0.00000000,-0.73251120
-7.38103289,0.00000000,-1.09876700
-7.37848289,0.00488341,-0.73251120
-7.37593289,-0.00610426,-1.09876700
-7.37338289,-0.00610426,-1.09876700
-7.37083289,-0.00610426,-1.46502200
-7.36828289,0.00000000,-0.36625560
-7.36573289,0.00000000,-1.09876700
-7.36318289,0.00000000,-1.09876700
-7.36063289,0.00488341,-1.09876700
-7.35808289,0.00000000,-1.46502200
-7.35553289,0.00000000,-1.09876700
-7.35298289,-0.00610426,-0.73251120
-7.35043289,-0.00610426,-0.73251120
-7.34788289,0.00488341,-0.73251120
-7.34533289,-0.00610426,-1.09876700
-7.34278289,0.00000000,-1.09876700
-7.34023289,-0.00610426,-1.09876700
-7.33768289,0.00488341,-1.09876700
-7.33513289,0.00000000,-1.09876700
-7.33258289,0.00488341,-0.73251120
-7.33003289,0.00000000,-1.09876700
-7.32748289,0.00488341,-0.73251120
-7.32493289,-0.00610426,-0.36625560
-7.32238289,-0.02197534,-1.46502200
-7.31983289,-0.00610426,-1.46502200
-7.31728289,0.00488341,-1.09876700
-7.31473289,0.00488341,-0.73251120
-7.31218289,0.00000000,-0.73251120
-7.30963289,0.00000000,-0.73251120
-7.30708289,0.00976682,-0.36625560
-7.30453289,-0.00610426,-1.09876700
-7.30198289,-0.00610426,-1.09876700
-7.29943289,0.00000000,-1.09876700
-7.29688289,-0.00610426,-0.73251120
-7.29433289,-0.01098767,-0.73251120
-7.29178289,0.00000000,-1.09876700
-7.28923290,0.01465023,-0.73251120
-7.28668290,-0.00610426,-1.09876700
-7.28413290,0.00000000,-1.09876700
-7.28158290,0.00000000,-1.09876700
-7.27903290,-0.00610426,-0.73251120
-7.27648290,0.00000000,-1.09876700
-7.27393290,-0.00610426,-1.09876700
-7.27138290,-0.01098767,-1.09876700
-7.26883290,0.00976682,-0.73251120
-7.26628290,0.00488341,-0.73251120
-7.26373290,0.00000000,-0.73251120
-7.26118290,0.00000000,-1.09876700
-7.25863290,0.00000000,-0.73251120
-7.25608290,-0.00610426,-1.09876700
-7.25353290,0.00000000,-0.73251120
-7.25098290,-0.00610426,-0.73251120
-7.24843290,-0.01587108,-1.09876700
-7.24588290,0.00488341,-0.73251120
-7.24333290,-0.00610426,-1.09876700
-7.24078290,-0.00610426,-0.73251120
-7.23823290,0.00976682,-0.73251120
-7.23568290,0.00000000,-0.73251120
-7.23313290,0.00488341,-0.73251120
-7.23058290,-0.00610426,-1.09876700
-7.22803290,-0.00610426,-0.73251120
-7.22548290,-0.00610426,-1.09876700
-7.22293290,-0.01098767,-0.73251120
-7.22038290,0.00488341,-0.73251120
-7.21783290,-0.01098767,-1.09876700
-7.21528290,0.00000000,-1.09876700
-7.21273290,0.00000000,-0.73251120
-7.21018290,0.00488341,-1.09876700
-7.20763290,0.00000000,-0.73251120
-7.20508290,-0.00610426,-0.73251120
-7.20253290,0.00000000,-1.09876700
-7.19998290,0.00000000,-1.46502200
-7.19743290,0.00000000,-0.73251120
-7.19488290,0.00000000,-1.09876700
-7.19233290,-0.00610426,-0.73251120
-7.18978290,0.00000000,-0.73251120
-7.18723290,-0.00610426,-0.73251120
-7.18468290,-0.00610426,-0.73251120
-7.18213290,0.00000000,-0.73251120
-7.17958290,0.00488341,-1.09876700
-7.17703290,0.00000000,-1.09876700
-7.17448290,0.00000000,-0.36625560
-7.17193290,0.00000000,-0.73251120
-7.16938290,-0.00610426,-1.09876700
-7.16683290,0.00488341,-1.09876700
-7.16428290,0.00000000,-1.09876700
-7.16173290,-0.01098767,-0.73251120
-7.15918290,-0.00610426,-0.73251120
-7.15663290,-0.00610426,-0.36625560
-7.15408290,0.00000000,-0.36625560
-7.15153290,-0.00610426,-0.73251120
-7.14898290,-0.00610426,-1.09876700
-7.14643290,-0.00610426,-1.09876700
-7.14388290,0.00000000,-1.09876700
-7.14133290,-0.00610426,-1.09876700
-7.13878290,-0.00610426,-0.73251120
-7.13623290,0.00976682,-1.09876700
-7.13368290,-0.01098767,-1.09876700
-7.13113290,-0.00610426,-1.09876700
-7.12858290,0.00000000,-0.73251120
-7.12603290,0.00000000,-1.09876700
-7.12348290,0.00488341,-1.09876700
-7.12093290,0.00000000,-0.73251120
-7.11838290,0.00488341,-1.09876700
-7.11583290,0.00488341,-1.09876700
-7.11328290,0.00488341,-1.09876700
-7.11073290,-0.00610426,-0.73251120
-7.10818290,-0.01098767,-0.73251120
-7.10563290,0.00000000,-0.73251120
-7.10308291,0.00976682,-0.73251120
-7.10053291,0.00000000,-0.36625560
-7.09798291,0.00000000,-1.46502200
-7.09543291,0.00976682,-1.09876700
-7.09288291,-0.01098767,-1.09876700
-7.09033291,0.00000000,-1.09876700
-7.08778291,0.00488341,-0.73251120
-7.08523291,0.00488341,-1.46502200
-7.08268291,0.00488341,-1.09876700
-7.08013291,0.00000000,-1.09876700
-7.07758291,0.00000000,-1.09876700
-7.07503291,-0.00610426,-0.73251120
-7.07248291,-0.00610426,-1.09876700
-7.06993291,0.00000000,-1.09876700
-7.06738291,0.00488341,-0.73251120
-7.06483291,-0.01098767,-1.09876700
-7.06228291,0.00976682,-0.73251120
-7.05973291,0.00000000,-0.73251120
-7.05718291,0.01465023,-1.09876700
-7.05463291,0.00000000,-1.09876700
-7.05208291,0.00000000,-0.73251120
-7.04953291,0.00000000,-1.46502200
-7.04698291,-0.01098767,-1.46502200
-7.04443291,0.00488341,-1.09876700
-7.04188291,0.00000000,-1.09876700
-7.03933291,0.00488341,-0.73251120
-7.03678291,0.00488341,-0.36625560
-7.03423291,0.00488341,-1.46502200
-7.03168291,0.00488341,-0.73251120
